programming,maths,communication,logic,self_learning,projects_completed,years_experience,internships,gpa,career
62,60,83,72,0,1,1,1,8.6,Teacher
73,83,61,80,1,3,3,1,8.6,HR
66,70,86,77,0,2,0,1,8.6,Teacher
68,72,86,73,1,2,1,1,8.6,Software
65,78,81,79,1,2,0,0,8.6,Teacher
79,84,76,86,0,4,1,1,8.6,HR
86,70,67,78,1,6,3,1,8.6,Software
83,80,63,88,1,5,2,1,8.6,HR
58,60,84,71,1,2,1,1,8.6,Teacher
89,73,66,82,1,6,2,1,8.6,Software
60,69,90,68,0,1,1,0,8.6,Teacher
80,81,69,80,1,4,3,0,8.6,HR
67,91,72,76,0,3,3,1,8.6,HR
53,78,88,75,1,2,1,0,8.6,Teacher
79,80,60,77,0,4,3,1,8.6,HR
82,91,77,89,1,3,2,1,8.6,HR
68,63,83,69,0,1,1,1,8.6,Teacher
68,74,83,79,0,3,1,0,8.6,Teacher
53,64,84,73,0,1,1,0,8.6,Teacher
66,72,80,66,0,3,0,0,8.6,Teacher
68,81,72,88,1,4,2,0,8.6,HR
91,83,59,75,1,5,2,1,8.6,Software
87,87,72,88,1,7,3,1,8.6,Software
73,92,67,78,1,4,3,0,8.6,HR
84,92,77,89,1,3,1,1,8.6,HR
79,88,75,84,1,4,1,0,8.6,HR
80,70,71,81,1,4,3,1,8.6,Software
88,73,74,81,1,5,4,1,8.6,Software
61,74,83,72,1,1,1,1,8.6,Teacher
66,82,66,81,1,5,2,0,8.6,HR
81,81,61,89,1,6,4,1,8.6,Software
66,67,91,71,1,2,0,0,8.6,Teacher
62,68,89,69,1,2,0,1,8.6,Teacher
56,71,84,71,1,3,1,1,8.6,Teacher
65,88,70,77,1,5,3,0,8.6,HR
88,77,67,78,1,5,3,1,8.6,Software
67,80,73,84,0,4,3,0,8.6,HR
91,87,55,89,1,5,1,1,8.6,Software
81,85,75,79,0,5,3,1,8.6,HR
94,73,64,84,1,7,1,1,8.6,Software
64,72,93,65,0,2,0,0,8.6,Teacher
68,76,85,79,0,3,1,1,8.6,Teacher
57,65,83,71,0,1,1,1,8.6,Teacher
73,86,68,76,1,6,2,1,8.6,HR
93,85,59,81,1,4,3,1,8.6,Software
81,86,66,89,0,3,3,1,8.6,HR
83,94,68,85,0,6,2,1,8.6,HR
89,80,63,84,1,5,1,1,8.6,Software
92,71,55,76,1,6,2,1,8.6,Software
68,85,76,76,0,4,2,1,8.6,HR
90,87,59,79,1,7,1,1,8.6,Software
55,73,86,67,0,2,0,0,8.6,Teacher
66,62,92,70,1,2,0,0,8.6,Teacher
59,67,93,79,0,1,0,1,8.6,Teacher
93,71,61,82,1,5,1,1,8.6,Software
69,81,69,85,0,4,2,0,8.6,HR
92,70,56,88,1,7,3,1,8.6,Software
83,87,63,79,1,6,3,1,8.6,Software
64,73,80,74,0,2,1,0,8.6,Teacher
91,82,57,80,1,6,2,1,8.6,Software
51,70,80,66,0,3,0,1,8.6,HR
81,84,59,82,1,6,4,1,8.6,Software
76,92,71,75,0,6,3,1,8.6,HR
58,66,81,74,1,1,1,0,8.6,Teacher
80,70,66,82,1,6,4,1,8.6,Software
78,87,61,76,1,4,1,1,8.6,HR
87,76,63,88,1,5,4,1,8.6,Software
76,83,70,79,1,3,2,0,8.6,Software
92,72,74,78,1,4,3,1,8.6,Software
60,68,83,67,0,3,0,1,8.6,Teacher
83,79,60,85,1,7,4,1,8.6,Software
88,84,69,87,1,7,1,1,8.6,Software
62,73,92,72,1,2,0,1,8.6,Teacher
93,81,58,87,1,5,2,1,8.6,Software
76,91,62,88,1,5,2,0,8.6,HR
74,93,63,88,0,6,3,1,8.6,HR
93,76,58,85,1,5,2,1,8.6,Software
62,67,87,76,0,3,0,0,8.6,Teacher
69,94,62,81,0,5,1,0,8.6,HR
94,75,62,76,1,7,1,1,8.6,Software
90,85,67,77,1,6,2,1,8.6,Software
60,61,80,69,0,3,0,1,8.6,Teacher
93,83,67,85,1,5,1,1,8.6,HR
81,91,73,78,0,3,1,1,8.6,HR
91,88,59,86,1,6,3,1,8.6,Software
73,81,65,79,0,5,3,0,8.6,HR
55,77,81,78,1,2,1,1,8.6,Teacher
60,65,90,77,0,2,1,0,8.6,Teacher
83,86,63,84,0,3,1,0,8.6,HR
62,67,86,77,0,2,0,1,8.6,Teacher
58,73,90,73,1,1,1,0,8.6,Teacher
54,75,84,76,1,2,1,0,8.6,Teacher
89,83,65,86,1,7,2,1,8.6,Software
57,75,91,77,1,1,0,1,8.6,Teacher
59,74,90,70,0,1,0,1,8.6,Teacher
58,71,82,79,0,2,0,0,8.6,Teacher
81,89,68,78,1,6,3,0,8.6,HR
84,90,66,84,1,5,3,0,8.6,HR
61,67,81,70,0,1,1,0,8.6,Teacher
94,70,62,79,1,5,3,1,8.6,Software
66,60,81,69,0,3,1,1,8.6,Teacher
60,66,92,77,0,1,1,0,8.6,Teacher
65,82,62,86,1,6,2,1,8.6,Software
74,88,64,80,1,4,2,0,8.6,Teacher
62,68,92,77,0,2,1,0,8.6,Teacher
88,73,67,76,1,6,1,1,8.6,Software
91,75,74,77,1,6,3,1,8.6,Software
77,89,77,87,0,6,1,1,8.6,HR
58,69,85,67,0,3,1,0,8.6,Teacher
54,67,80,71,0,1,0,1,8.6,Teacher
84,91,60,78,1,3,2,1,8.6,HR
73,91,60,88,0,4,2,0,8.6,HR
73,85,63,83,1,5,2,1,8.6,HR
61,65,83,67,1,2,0,0,8.6,Teacher
81,87,77,78,0,5,3,1,8.6,HR
89,79,70,87,1,6,4,1,8.6,Software
66,86,63,76,1,4,3,0,8.6,HR
69,86,65,89,0,6,1,1,8.6,HR
78,85,76,81,1,6,1,0,8.6,HR
72,87,66,87,1,4,2,0,8.6,Teacher
66,68,80,72,0,2,0,1,8.6,Teacher
60,61,93,76,1,1,1,1,8.6,Teacher
79,89,78,80,1,6,1,1,8.6,HR
59,70,85,76,1,3,0,1,8.6,Teacher
79,84,68,81,0,3,3,1,8.6,HR
89,73,65,88,1,6,3,1,8.6,Software
64,77,88,74,0,3,0,1,8.6,Teacher
70,92,78,75,1,3,1,0,8.6,HR
76,87,70,75,0,3,3,1,8.6,HR
52,65,82,79,1,3,1,0,8.6,Teacher
65,93,77,77,0,4,2,1,8.6,HR
83,82,74,80,1,6,2,1,8.6,HR
83,74,65,83,1,4,4,1,8.6,Software
82,80,67,75,0,5,1,0,8.6,HR
52,69,82,65,1,1,0,1,8.6,Teacher
87,84,66,81,1,7,2,1,8.6,Software
66,85,79,78,0,3,1,0,8.6,HR
93,85,74,82,1,7,4,1,8.6,Software
57,77,92,68,1,3,1,1,8.6,Teacher
79,89,67,77,1,6,2,0,8.6,HR
79,83,79,89,1,6,2,0,8.6,HR
67,86,77,84,0,6,2,1,8.6,HR
70,82,73,84,1,4,2,1,8.6,HR
60,67,91,67,0,2,0,0,8.6,HR
68,60,82,71,0,3,0,0,8.6,Software
64,75,93,77,0,2,0,1,8.6,Teacher
69,71,81,71,1,1,0,1,8.6,Teacher
78,89,74,86,1,6,1,1,8.6,HR
81,90,74,85,0,6,2,0,8.6,HR
66,64,91,70,0,2,1,0,8.6,Teacher
88,89,58,85,1,7,1,1,8.6,Software
82,85,69,83,1,4,2,1,8.6,Software
53,78,81,73,1,2,1,0,8.6,Teacher
52,68,85,76,0,2,1,1,8.6,Teacher
67,71,90,75,0,1,0,0,8.6,Teacher
88,89,65,81,1,7,3,1,8.6,Software
93,73,61,75,1,4,2,1,8.6,Software
91,87,73,89,1,7,3,1,8.6,Software
87,83,59,77,1,4,3,1,8.6,Software
92,84,70,87,1,5,2,1,8.6,Software
67,66,94,69,1,2,0,0,8.6,Teacher
84,79,68,88,1,4,2,1,8.6,Software
84,70,69,83,1,4,4,1,8.6,Software
66,87,63,85,0,5,1,1,8.6,Teacher
84,79,58,79,1,4,3,1,8.6,Software
65,67,82,68,0,3,1,1,8.6,Teacher
80,87,71,88,0,5,1,1,8.6,HR
80,82,60,83,0,3,2,1,8.6,HR
87,84,70,75,1,4,4,1,8.6,Software
68,65,86,77,0,2,0,1,8.6,Teacher
77,80,72,75,0,5,2,1,8.6,HR
69,73,85,68,1,3,0,1,8.6,Teacher
65,61,93,72,0,1,1,1,8.6,Teacher
92,78,59,89,1,5,4,1,8.6,Software
83,83,64,81,1,5,3,1,8.6,Software
67,92,69,85,1,4,3,0,8.6,HR
74,84,60,75,0,3,1,0,8.6,HR
83,78,70,84,1,6,1,1,8.6,Software
70,92,67,86,0,5,1,0,8.6,HR
61,78,89,75,1,2,0,0,8.6,Teacher
69,72,80,73,1,1,1,0,8.6,Teacher
71,84,74,84,1,6,1,0,8.6,HR
87,84,68,78,1,6,4,1,8.6,Software
87,74,66,76,1,4,4,1,8.6,Software
80,71,71,79,1,5,2,1,8.6,Software
84,78,73,86,1,6,1,1,8.6,Software
68,91,75,75,1,6,3,1,8.6,HR
88,87,73,81,1,7,2,1,8.6,Software
63,78,90,66,0,2,0,0,8.6,Software
66,88,61,79,0,3,1,0,8.6,HR
67,88,73,87,0,3,3,0,8.6,HR
52,60,83,76,1,2,1,0,8.6,Teacher
68,93,74,86,1,6,1,0,8.6,HR
54,69,86,74,0,3,0,1,8.6,Teacher
75,85,60,83,1,4,1,0,8.6,HR
82,87,68,76,1,4,1,1,8.6,HR
79,84,74,84,0,6,3,1,8.6,HR
66,89,69,86,1,4,3,1,8.6,HR
91,75,61,76,1,5,2,1,8.6,Software
82,73,55,87,1,7,4,1,8.6,Software
84,71,73,82,1,5,1,1,8.6,Software
87,86,65,85,1,5,1,1,8.6,Software
80,82,72,80,1,4,1,1,8.6,Software
92,88,59,85,1,5,3,1,8.6,Software
81,83,60,76,1,7,4,1,8.6,Software
73,90,75,87,0,4,2,1,8.6,HR
80,83,77,89,1,4,2,0,8.6,HR
72,91,74,83,0,5,1,1,8.6,HR
56,70,93,71,0,2,0,0,8.6,Software
52,69,82,75,1,1,0,0,8.6,Teacher
69,89,76,86,0,6,3,1,8.6,HR
81,80,70,81,1,5,1,1,8.6,HR
88,77,74,88,1,7,2,1,8.6,Software
93,70,68,87,1,4,4,1,8.6,Software
84,73,67,81,1,5,3,1,8.6,Software
84,89,65,81,0,4,3,1,8.6,HR
53,60,87,67,1,1,1,0,8.6,Teacher
67,91,67,87,1,6,3,1,8.6,HR
76,80,75,83,0,5,1,1,8.6,HR
66,71,88,77,1,2,0,0,8.6,Teacher
71,82,69,84,0,4,2,1,8.6,HR
65,65,88,75,1,3,1,1,8.6,Teacher
69,66,88,72,0,2,1,1,8.6,Teacher
81,86,67,75,1,5,1,1,8.6,Software
61,70,82,75,1,3,0,0,8.6,Teacher
59,61,83,70,0,1,1,0,8.6,Teacher
50,65,86,69,1,2,1,1,8.6,Teacher
67,94,72,80,0,6,2,0,8.6,HR
89,85,62,75,1,7,1,1,8.6,Software
84,79,57,76,1,4,3,1,8.6,Software
50,77,91,67,1,2,1,1,8.6,Teacher
51,78,93,78,1,2,1,0,8.6,Teacher
52,64,80,75,1,1,1,0,8.6,Teacher
69,84,73,76,1,3,2,0,8.6,HR
86,88,56,88,1,5,2,1,8.6,Software
65,94,71,76,1,5,2,0,8.6,HR
58,73,92,76,1,2,0,1,8.6,Teacher
66,77,81,73,0,2,0,0,8.6,Teacher
55,70,90,75,1,2,0,0,8.6,Teacher
89,77,61,87,1,5,2,1,8.6,Software
66,61,84,65,0,3,1,0,8.6,Teacher
80,73,63,81,1,5,1,1,8.6,Software
91,84,62,80,1,4,3,1,8.6,Software
88,83,69,83,1,7,3,1,8.6,Software
65,86,66,78,0,4,3,0,8.6,HR
61,62,92,68,0,2,0,0,8.6,Teacher
89,70,70,78,1,4,4,1,8.6,Software
68,94,79,83,0,3,2,1,8.6,HR
55,62,85,73,1,3,1,1,8.6,Teacher
67,87,72,81,0,6,1,1,8.6,HR
58,79,80,67,0,1,0,1,8.6,Teacher
91,85,69,75,1,7,4,1,8.6,Software
83,74,73,79,1,7,4,1,8.6,Software
84,71,64,79,1,6,1,1,8.6,HR
86,80,58,86,1,6,1,1,8.6,Software
62,68,89,65,1,3,1,1,8.6,Teacher
79,94,74,82,1,5,3,1,8.6,HR
92,82,64,76,1,4,4,1,8.6,Software
81,84,69,86,0,5,3,1,8.6,HR
53,71,88,68,0,3,1,1,8.6,Teacher
81,73,70,85,1,5,4,1,8.6,Software
69,74,85,76,0,2,1,0,8.6,Teacher
82,87,67,87,1,7,3,1,8.6,Software
94,72,59,85,1,7,1,1,8.6,Software
56,77,87,72,0,1,1,1,8.6,Teacher
75,80,67,81,1,3,2,1,8.6,HR
93,76,73,79,1,6,1,1,8.6,Software
60,61,88,70,0,2,0,0,8.6,Teacher
75,83,64,81,0,5,2,0,8.6,HR
68,78,87,74,0,3,1,1,8.6,Teacher
66,80,61,88,0,6,1,1,8.6,HR
75,94,66,77,0,3,3,0,8.6,HR
51,72,93,70,0,1,0,0,8.6,Teacher
63,73,88,66,0,1,1,0,8.6,Teacher
61,69,89,73,1,1,0,1,8.6,Teacher
51,73,83,65,0,2,0,1,8.6,Teacher
82,80,61,86,1,3,1,0,8.6,HR
70,80,73,75,1,6,3,1,8.6,HR
88,88,57,78,1,6,3,1,8.6,Software
53,68,94,78,0,2,1,0,8.6,Teacher
75,90,60,75,0,6,2,1,8.6,HR
67,90,77,87,1,5,3,0,8.6,HR
83,85,74,83,0,6,2,1,8.6,HR
63,78,82,72,1,2,1,1,8.6,Teacher
66,91,65,84,0,5,1,0,8.6,HR
70,87,76,86,1,4,2,1,8.6,HR
92,72,74,86,1,6,4,1,8.6,Software
85,73,66,77,1,4,3,1,8.6,Software
94,87,56,84,1,6,1,1,8.6,Software
73,89,74,77,0,4,1,1,8.6,HR
70,86,78,82,0,3,2,0,8.6,HR
80,91,74,79,1,5,3,0,8.6,Teacher
51,74,86,73,0,3,1,1,8.6,Teacher
80,75,64,80,1,5,3,1,8.6,Software
92,73,64,87,1,5,1,1,8.6,Software
65,80,66,84,1,5,2,1,8.6,HR
56,60,94,68,1,2,1,1,8.6,Teacher
67,85,70,89,1,6,1,1,8.6,HR
66,85,73,75,0,5,3,0,8.6,HR
63,74,91,67,0,2,1,1,8.6,Teacher
94,84,66,84,1,4,3,1,8.6,Software
81,83,61,79,1,7,2,1,8.6,Software
80,83,56,84,1,6,2,1,8.6,Software
53,72,83,78,1,3,0,1,8.6,Teacher
91,74,63,78,1,7,2,1,8.6,Software
83,82,62,80,1,4,1,1,8.6,Software
81,80,70,89,1,4,1,1,8.6,Software
87,84,74,86,1,5,3,1,8.6,Software
66,60,89,66,1,3,0,1,8.6,Teacher
73,90,62,88,0,4,1,0,8.6,HR
54,79,80,77,1,3,0,1,8.6,Teacher
77,94,67,88,1,3,1,1,8.6,HR
93,80,66,85,1,7,3,1,8.6,Software
59,78,86,78,0,1,0,1,8.6,Teacher
67,94,66,75,0,5,2,1,8.6,HR
89,82,55,84,1,5,2,1,8.6,Software
61,73,81,65,1,3,1,1,8.6,Teacher
90,77,61,86,1,6,3,1,8.6,Software
64,75,83,65,0,3,0,0,8.6,Teacher
86,79,69,81,1,7,4,1,8.6,Software
78,93,60,87,1,5,3,0,8.6,HR
53,78,85,76,1,1,0,1,8.6,Teacher
91,71,62,76,1,4,4,1,8.6,Software
57,67,93,65,1,1,0,0,8.6,Teacher
68,91,74,75,1,5,2,0,8.6,HR
89,86,70,87,1,5,4,1,8.6,Software
86,87,57,78,1,5,3,1,8.6,Software
86,74,64,84,1,5,3,1,8.6,Software
58,62,87,78,0,2,0,0,8.6,Teacher
62,62,92,67,0,1,1,0,8.6,Teacher
83,85,66,75,1,4,4,1,8.6,Software
68,80,60,75,0,4,1,0,8.6,HR
91,81,73,77,1,4,3,1,8.6,Software
86,84,74,84,1,6,2,1,8.6,Software
83,80,57,87,1,4,1,1,8.6,Software
71,94,73,81,0,3,1,0,8.6,HR
61,77,93,69,1,3,0,1,8.6,Teacher
88,71,70,79,1,7,4,1,8.6,Software
76,80,74,83,0,3,1,1,8.6,HR
86,83,60,75,1,5,4,1,8.6,Software
83,89,79,88,1,3,3,0,8.6,HR
52,60,90,72,1,3,0,0,8.6,Teacher
83,82,61,89,0,4,2,1,8.6,HR
76,90,61,76,0,4,2,0,8.6,HR
72,84,69,80,1,6,1,1,8.6,HR
86,76,66,87,1,6,4,1,8.6,Software
92,75,64,76,1,6,4,1,8.6,Software
65,69,88,68,0,2,1,1,8.6,Teacher
71,94,63,83,0,6,3,0,8.6,HR
66,76,89,78,0,3,1,0,8.6,Teacher
90,84,72,78,1,6,4,1,8.6,Software
59,75,87,76,1,1,0,1,8.6,Teacher
53,66,93,71,1,1,1,0,8.6,HR
77,90,79,85,1,5,2,1,8.6,HR
51,77,82,72,0,3,1,1,8.6,Teacher
91,78,66,75,1,7,1,1,8.6,Software
55,77,88,68,0,1,1,1,8.6,Teacher
59,67,83,79,0,3,0,1,8.6,Teacher
74,89,70,79,1,5,3,1,8.6,HR
84,70,57,89,1,6,3,1,8.6,Software
70,86,61,84,1,4,2,0,8.6,Teacher
91,86,59,89,1,4,2,1,8.6,Software
92,80,64,85,1,6,2,1,8.6,Software
89,79,60,81,1,7,1,1,8.6,Software
87,76,62,80,1,6,3,1,8.6,Software
86,83,58,84,1,7,2,1,8.6,Software
76,93,69,88,0,6,2,1,8.6,HR
82,83,59,77,1,4,2,1,8.6,Software
60,69,93,66,1,1,1,1,8.6,Teacher
93,80,70,87,1,4,2,1,8.6,Software
84,91,74,75,0,5,3,0,8.6,HR
74,91,77,86,0,5,1,0,8.6,HR
76,88,63,89,1,6,3,1,8.6,HR
86,84,71,79,1,5,4,1,8.6,Software
86,74,59,86,1,6,1,1,8.6,Software
82,82,77,88,1,4,3,0,8.6,HR
81,77,55,88,1,6,2,1,8.6,Software
82,90,75,79,1,3,2,1,8.6,HR
78,93,68,84,0,5,3,0,8.6,HR
87,70,71,81,1,5,1,1,8.6,Software
64,78,81,77,1,3,1,1,8.6,Teacher
92,73,72,76,1,4,1,1,8.6,Software
86,85,73,84,1,6,3,1,8.6,Software
54,61,93,65,0,1,1,1,8.6,Teacher
93,85,61,83,1,6,1,1,8.6,Software
86,79,74,88,1,7,4,1,8.6,Software
67,69,91,68,0,1,1,1,8.6,Teacher
54,72,90,72,0,3,0,0,8.6,Teacher
52,60,93,74,0,2,1,1,8.6,Teacher
71,91,77,85,1,5,3,1,8.6,HR
65,64,90,68,1,1,1,1,8.6,Teacher
55,71,93,71,1,2,1,1,8.6,Teacher
76,94,79,88,0,3,1,1,8.6,HR
81,86,62,79,1,5,3,1,8.6,HR
74,86,75,84,1,3,1,1,8.6,HR
85,73,55,78,1,6,4,1,8.6,Software
62,71,81,77,1,2,1,1,8.6,Teacher
72,91,74,85,0,5,3,1,8.6,HR
70,93,67,85,1,4,1,0,8.6,HR
93,82,74,76,1,5,4,1,8.6,Software
87,76,56,76,1,5,4,1,8.6,Software
71,85,73,87,0,5,3,0,8.6,HR
74,84,60,80,1,6,2,1,8.6,HR
65,68,80,67,1,2,0,0,8.6,Teacher
86,72,70,89,1,7,4,1,8.6,Software
66,71,94,67,0,2,0,0,8.6,Teacher
81,71,73,83,1,5,3,1,8.6,Software
75,85,64,83,1,3,3,0,8.6,HR
66,86,65,75,0,3,1,1,8.6,HR
66,64,91,65,1,3,1,1,8.6,Teacher
72,92,72,86,0,6,1,0,8.6,HR
53,63,87,65,0,2,1,0,8.6,Teacher
86,82,59,78,1,7,2,1,8.6,Software
65,75,91,70,0,1,0,1,8.6,Teacher
70,92,74,84,1,4,3,1,8.6,HR
85,84,65,87,1,6,2,1,8.6,Software
78,87,62,86,1,6,2,0,8.6,Software
67,90,74,89,0,4,3,0,8.6,HR
92,85,68,85,1,4,2,1,8.6,Software
82,80,64,87,1,4,1,1,8.6,Software
55,68,89,66,1,2,0,1,8.6,Teacher
68,80,70,88,1,5,1,1,8.6,HR
63,73,90,68,1,1,1,0,8.6,Teacher
66,66,92,65,0,3,0,1,8.6,Teacher
57,64,93,74,1,2,0,0,8.6,Teacher
83,91,64,84,0,4,3,0,8.6,HR
56,75,82,71,0,2,1,1,8.6,Teacher
66,79,81,75,0,1,1,1,8.6,Teacher
67,91,61,89,0,3,3,1,8.6,Software
83,77,69,80,1,6,4,1,8.6,Software
63,79,87,68,0,2,1,0,8.6,Teacher
60,68,85,72,1,2,0,0,8.6,Teacher
84,87,78,86,1,3,3,0,8.6,HR
66,69,82,68,1,2,0,1,8.6,Teacher
69,75,88,70,0,3,0,0,8.6,Teacher
83,81,67,87,1,6,1,1,8.6,Software
81,76,68,83,1,5,4,1,8.6,Software
78,87,61,87,1,4,3,1,8.6,HR
64,60,88,78,0,3,1,1,8.6,Teacher
91,82,72,86,1,7,3,1,8.6,Software
74,91,62,87,1,5,2,1,8.6,HR
80,71,74,75,1,6,2,1,8.6,Software
62,68,94,71,0,1,1,0,8.6,Software
74,91,78,82,1,6,2,0,8.6,HR
88,79,63,88,1,6,3,1,8.6,Software
83,88,71,85,1,5,1,0,8.6,HR
67,88,64,76,0,4,1,0,8.6,HR
78,93,76,79,0,5,3,0,8.6,HR
66,65,83,76,1,3,0,1,8.6,Teacher
88,71,63,85,1,7,1,1,8.6,Software
67,62,88,77,0,3,1,0,8.6,Teacher
83,73,71,88,1,5,3,1,8.6,Software
65,83,70,87,0,4,2,0,8.6,HR
55,78,84,74,1,3,0,1,8.6,Teacher
52,63,89,68,1,3,1,0,8.6,Teacher
87,73,71,87,1,4,3,1,8.6,Software
62,72,81,69,0,2,1,1,8.6,Teacher
77,92,65,81,1,4,2,0,8.6,HR
80,94,64,75,1,4,2,0,8.6,HR
94,84,66,79,1,5,4,1,8.6,Software
59,76,94,67,0,3,0,1,8.6,Teacher
91,80,66,81,1,5,3,1,8.6,Software
87,89,67,82,1,7,3,1,8.6,Software
76,80,62,88,0,3,1,0,8.6,HR
83,86,73,78,1,7,4,1,8.6,Software
93,84,59,75,1,4,1,1,8.6,Software
63,66,82,71,1,2,0,1,8.6,Teacher
86,87,55,83,1,6,2,1,8.6,Software
53,62,87,73,0,1,1,0,8.6,Teacher
85,82,71,80,1,4,4,1,8.6,Software
88,89,70,87,1,4,4,1,8.6,Software
84,76,55,82,1,6,1,1,8.6,Software
86,79,61,87,1,5,4,1,8.6,Teacher
84,84,55,75,1,4,3,1,8.6,Software
80,78,63,79,1,7,3,1,8.6,Software
55,60,93,78,0,3,1,0,8.6,Teacher
63,60,83,68,0,2,1,1,8.6,Teacher
53,76,89,76,0,1,1,0,8.6,Teacher
71,94,64,89,0,5,1,0,8.6,HR
50,71,86,68,0,2,0,0,8.6,Teacher
67,86,62,79,0,5,2,1,8.6,HR
88,86,67,89,1,7,3,1,8.6,Software
81,85,63,82,1,6,4,1,8.6,Software
68,87,75,81,0,5,3,0,8.6,HR
71,93,70,79,0,6,1,1,8.6,HR
52,60,84,76,0,3,1,0,8.6,HR
78,89,61,84,0,3,1,0,8.6,Software
80,76,71,81,1,5,2,1,8.6,Software
56,71,83,72,1,3,1,0,8.6,Teacher
83,89,76,89,0,6,3,0,8.6,HR
94,89,69,77,1,7,3,1,8.6,Software
80,76,57,88,1,4,3,1,8.6,Software
63,67,84,78,1,3,0,0,8.6,Teacher
54,78,84,69,1,3,1,1,8.6,Teacher
91,77,63,81,1,4,3,1,8.6,Software
65,82,70,84,0,4,2,0,8.6,HR
50,71,84,72,1,2,0,0,8.6,Teacher
69,74,87,65,0,2,1,1,8.6,Teacher
55,66,90,73,1,1,0,0,8.6,Teacher
87,74,65,87,1,6,1,1,8.6,Software
93,81,64,80,1,7,3,1,8.6,Software
54,65,86,69,0,1,1,0,8.6,Teacher
81,84,67,77,1,5,4,1,8.6,Software
79,91,75,83,1,3,3,0,8.6,HR
61,70,85,76,0,1,0,1,8.6,Teacher
67,82,77,87,0,3,3,0,8.6,HR
53,70,89,74,0,2,1,1,8.6,Teacher
58,75,90,75,0,2,1,0,8.6,Teacher
